inc_before_tax,mo_net_tax_liab_dol_chg_single,mo_net_tax_liab_dol_chg_mar0kids,mo_net_tax_liab_dol_chg_hoh2kids,mo_net_tax_liab_dol_chg_mar2kids
200497.33,-2125.0264,-1936.0264,-2030.5264,-1936.0264
200518.31,-2125.2778,-1936.2773,-2030.7773,-1936.2773
200539.28,-2125.5293,-1936.5293,-2031.0293,-1936.5293
200560.27,-2125.7812,-1936.7812,-2031.2812,-1936.7812
200581.23,-2126.0327,-1937.0327,-2031.5327,-1937.0327
200602.22,-2126.2847,-1937.2847,-2031.7847,-1937.2847
200623.2,-2126.5366,-1937.5366,-2032.0366,-1937.5366
200644.17,-2126.788,-1937.7881,-2032.2881,-1937.7881
200665.16,-2127.04,-1938.04,-2032.54,-1938.04
200686.12,-2127.2915,-1938.2915,-2032.7915,-1938.2915
200707.11,-2127.543,-1938.543,-2033.043,-1938.543
200728.08,-2127.7944,-1938.7949,-2033.2949,-1938.7949
200749.06,-2128.0464,-1939.0469,-2033.5469,-1939.0469
200770.03,-2128.2979,-1939.2983,-2033.7983,-1939.2983
200791.02,-2128.5498,-1939.5503,-2034.0503,-1939.5503
200811.98,-2128.8022,-1939.8018,-2034.3018,-1939.8018
200832.97,-2129.0542,-1940.0537,-2034.5537,-1940.0537
200853.94,-2129.3057,-1940.3052,-2034.8052,-1940.3052
200874.92,-2129.5576,-1940.5571,-2035.0571,-1940.5571
200895.89,-2129.809,-1940.8091,-2035.3091,-1940.8091
200916.88,-2130.0605,-1941.0605,-2035.5605,-1941.0605
200937.84,-2130.312,-1941.312,-2035.812,-1941.312
200958.83,-2130.564,-1941.564,-2036.064,-1941.564
200979.8,-2130.8154,-1941.8154,-2036.3154,-1941.8154
201000.78,-2131.0674,-1942.0674,-2036.5674,-1942.0674
201021.75,-2131.3188,-1942.3188,-2036.8188,-1942.3188
201042.73,-2131.5708,-1942.5708,-2037.0708,-1942.5708
201063.7,-2131.8223,-1942.8228,-2037.3228,-1942.8228
201084.69,-2132.0742,-1943.0742,-2037.5742,-1943.0742
201105.67,-2132.3257,-1943.3257,-2037.8257,-1943.3257
201126.64,-2132.5771,-1943.5776,-2038.0776,-1943.5776
201147.62,-2132.829,-1943.8296,-2038.3296,-1943.8296
201168.6,-2133.0806,-1944.081,-2038.581,-1944.081
201189.58,-2133.3325,-1944.333,-2038.833,-1944.333
201210.55,-2133.585,-1944.5845,-2039.0845,-1944.5845
201231.53,-2133.837,-1944.8364,-2039.3364,-1944.8364
201252.5,-2134.0884,-1945.0879,-2039.5879,-1945.0879
201273.48,-2134.3403,-1945.3398,-2039.8398,-1945.3398
201294.45,-2134.5918,-1945.5918,-2040.0918,-1945.5918
201315.44,-2134.8433,-1945.8433,-2040.3433,-1945.8433
201336.4,-2135.0947,-1946.0947,-2040.5947,-1946.0947
201357.39,-2135.3467,-1946.3467,-2040.8467,-1946.3467
201378.36,-2135.5981,-1946.5981,-2041.0981,-1946.5981
201399.34,-2135.85,-1946.8501,-2041.3501,-1946.8501
201420.31,-2136.1016,-1947.1016,-2041.6016,-1947.1016
201441.3,-2136.3535,-1947.3535,-2041.8535,-1947.3535
201462.27,-2136.605,-1947.6055,-2042.1055,-1947.6055
201483.25,-2136.857,-1947.8569,-2042.3569,-1947.8569
201504.22,-2137.1084,-1948.1089,-2042.6089,-1948.1089
201525.2,-2137.3599,-1948.3604,-2042.8604,-1948.3604
201546.19,-2137.6118,-1948.6123,-2043.1123,-1948.6123
201567.16,-2137.8633,-1948.8638,-2043.3638,-1948.8638
201588.14,-2138.1152,-1949.1157,-2043.6157,-1949.1157
201609.11,-2138.3677,-1949.3672,-2043.8672,-1949.3672
201630.1,-2138.6196,-1949.6191,-2044.1191,-1949.6191
201651.06,-2138.871,-1949.8706,-2044.3706,-1949.8706
201672.05,-2139.123,-1950.1226,-2044.623,-1950.1226
201693.02,-2139.3745,-1950.3745,-2044.8745,-1950.3745
201714.0,-2139.626,-1950.626,-2045.126,-1950.626
201734.97,-2139.8774,-1950.8774,-2045.3774,-1950.8774
201755.95,-2140.1294,-1951.1294,-2045.6294,-1951.1294
201776.92,-2140.3809,-1951.3809,-2045.8809,-1951.3809
201797.9,-2140.6328,-1951.6328,-2046.1328,-1951.6328
201818.88,-2140.8843,-1951.8843,-2046.3843,-1951.8843
201839.86,-2141.1362,-1952.1362,-2046.6362,-1952.1362
201860.83,-2141.3877,-1952.3882,-2046.8877,-1952.3882
201881.81,-2141.6396,-1952.6401,-2047.1396,-1952.6401
201902.78,-2141.891,-1952.8916,-2047.3911,-1952.8916
201923.77,-2142.1426,-1953.1431,-2047.6426,-1953.1431
201944.73,-2142.395,-1953.3945,-2047.895,-1953.3945
201965.72,-2142.647,-1953.6465,-2048.147,-1953.6465
201986.69,-2142.8984,-1953.898,-2048.3984,-1953.898
202007.67,-2143.1504,-1954.1499,-2048.6504,-1954.1499
202028.66,-2143.4023,-1954.4019,-2048.9023,-1954.4019
202049.62,-2143.6538,-1954.6533,-2049.1538,-1954.6533
202070.61,-2143.9058,-1954.9053,-2049.4058,-1954.9053
202091.58,-2144.1572,-1955.1572,-2049.6572,-1955.1572
202112.56,-2144.4092,-1955.4092,-2049.9092,-1955.4092
202133.53,-2144.6602,-1955.6602,-2050.1602,-1955.6602
202154.52,-2144.912,-1955.9121,-2050.412,-1955.9121
202175.48,-2145.1636,-1956.1636,-2050.6636,-1956.1636
202196.47,-2145.4155,-1956.4155,-2050.9155,-1956.4155
202217.44,-2145.667,-1956.667,-2051.167,-1956.667
202238.42,-2145.919,-1956.919,-2051.419,-1956.919
202259.39,-2146.1704,-1957.1709,-2051.6704,-1957.1709
202280.38,-2146.4224,-1957.4229,-2051.9224,-1957.4229
202301.34,-2146.6738,-1957.6743,-2052.1738,-1957.6743
202322.33,-2146.9258,-1957.9263,-2052.4258,-1957.9263
202343.3,-2147.1777,-1958.1772,-2052.6777,-1958.1772
202364.28,-2147.4297,-1958.4292,-2052.9297,-1958.4292
202385.25,-2147.6812,-1958.6807,-2053.1812,-1958.6807
202406.23,-2147.933,-1958.9326,-2053.433,-1958.9326
202427.2,-2148.1846,-1959.1846,-2053.6846,-1959.1846
